category,commodity,source_method,cost_basis,cost_text,meaningful_metric,driver_extraction,driver_processing,driver_energy_reagents,driver_logistics,driver_fiscal_esg,driver_structural,is_byproduct,drivers_raw,vintage
Critical Minerals (India 30),Molybdenum,By-product of porphyry copper; some primary Mo mines,Per tonne Mo,"Metal/oxide ~$20,000-45,000/t",$/t Mo (in oxide/ferromoly),mostly a by-product of copper porphyries (grade rides on Cu ore); primary Climax-type mines exist.,separate moly flotation circuit; roasting MoS2 to oxide (also yields rhenium).,"roasting energy, reagents.",concentrate to roasters.,SO2 capture in roasting.,by-product credit lowers copper C1; steel-alloy demand cyclical.,FALSE,"EXTRACTION: mostly a by-product of copper porphyries (grade rides on Cu ore); primary Climax-type mines exist. PROCESSING: separate moly flotation circuit; roasting MoS2 to oxide (also yields rhenium). ENERGY/REAGENTS: roasting energy, reagents. LOGISTICS: concentrate to roasters. FISCAL/ESG: SO2 capture in roasting. STRUCTURAL: by-product credit lowers copper C1; steel-alloy demand cyclical.",2025-26
Critical Minerals (India 30),Niobium,Pyrochlore in carbonatites (open-pit; Brazil/CBMM dominant),Per tonne Nb (in FeNb),Low at Brazilian scale; project-specific elsewhere,$/t Nb (ferroniobium),pyrochlore grade in weathered carbonatite; open-pit.,flotation/magnetic concentration; aluminothermic reduction to ferroniobium.,reduction energy.,FeNb to steelmakers.,"tailings, radioactivity (U/Th in pyrochlore).",~90% from one Brazilian producer (CBMM) => scale-driven low cost; HSLA steel & superalloy demand.,FALSE,"EXTRACTION: pyrochlore grade in weathered carbonatite; open-pit. PROCESSING: flotation/magnetic concentration; aluminothermic reduction to ferroniobium. ENERGY/REAGENTS: reduction energy. LOGISTICS: FeNb to steelmakers. FISCAL/ESG: tailings, radioactivity (U/Th in pyrochlore). STRUCTURAL: ~90% from one Brazilian producer (CBMM) => scale-driven low cost; HSLA steel & superalloy demand.",2025-26
Critical Minerals (India 30),Nickel,See Base Metals sheet,Per t ore / per t Ni,Mining ~$10-30/t ore; route-driven to metal,$/t Ni,grade & deposit type (limonite vs saprolite laterite; sulphide).,route dominates - HPAL (acid-intensive) vs RKEF (energy-intensive) vs sulphide flotation+smelting.,sulphuric acid (HPAL) or coal/electricity (RKEF); reagents.,ore moisture; MHP/concentrate shipping.,acid-tailings neutralisation; deep-sea tailings controversy; Indonesia export policy.,cobalt by-product credit; Indonesian RKEF expansion has reset the cost curve; India is import-dependent. (Fuller treatment in the Base Metals entry.),FALSE,EXTRACTION: grade & deposit type (limonite vs saprolite laterite; sulphide).; PROCESSING: route dominates - HPAL (acid-intensive) vs RKEF (energy-intensive) vs sulphide flotation+smelting.; ENERGY/REAGENTS: sulphuric acid (HPAL) or coal/electricity (RKEF); reagents.; LOGISTICS: ore moisture; MHP/concentrate shipping.; FISCAL/ESG: acid-tailings neutralisation; deep-sea tailings controversy; Indonesia export policy.; STRUCTURAL: cobalt by-product credit; Indonesian RKEF expansion has reset the cost curve; India is import-dependent. (Fuller treatment in the Base Metals entry.),2025-26
Critical Minerals (India 30),PGE (Platinum-Group),See Precious Metals sheet,Per oz (4E/6E basket),"Primary Pt AISC ~$1,000/oz",AISC per oz; basket,"deep, narrow tabular reefs => labour-intensive, low productivity, deepening & falling grade.",complex smelting + base-metal refinery + precious-metal refinery; long pipeline lock-up.,"smelting power, reagents; South African grid risk.",handled within the integrated complex.,"deep-mine safety, water, community, power reliability, FX (ZAR).","priced as a basket (Pt, Pd, Rh, Ru, Ir + Au/Ni/Cu credits); auto-catalyst demand vs EV substitution. (Fuller treatment in the Precious Metals entry.)",FALSE,"EXTRACTION: deep, narrow tabular reefs => labour-intensive, low productivity, deepening & falling grade.; PROCESSING: complex smelting + base-metal refinery + precious-metal refinery; long pipeline lock-up.; ENERGY/REAGENTS: smelting power, reagents; South African grid risk.; LOGISTICS: handled within the integrated complex.; FISCAL/ESG: deep-mine safety, water, community, power reliability, FX (ZAR).; STRUCTURAL: priced as a basket (Pt, Pd, Rh, Ru, Ir + Au/Ni/Cu credits); auto-catalyst demand vs EV substitution. (Fuller treatment in the Precious Metals entry.)",2025-26
Critical Minerals (India 30),Phosphorous (phosphate rock),Open-pit phosphate rock (see Bulk sheet),Per tonne rock,~$30-60/t rock,$/t at given P2O5,P2O5 grade & gangue; overburden ratio.,beneficiation (flotation/washing) for low grade; cadmium/uranium penalties.,beneficiation power/water; downstream acidulation.,bulk shipping.,"cadmium limits, gypsum (phosphogypsum) waste.",India imports most rock/DAP => food-security 'fertilizer mineral'; price tied to global P market.,FALSE,"EXTRACTION: P2O5 grade & gangue; overburden ratio. PROCESSING: beneficiation (flotation/washing) for low grade; cadmium/uranium penalties. ENERGY/REAGENTS: beneficiation power/water; downstream acidulation. LOGISTICS: bulk shipping. FISCAL/ESG: cadmium limits, gypsum (phosphogypsum) waste. STRUCTURAL: India imports most rock/DAP => food-security 'fertilizer mineral'; price tied to global P market.",2025-26
Critical Minerals (India 30),Potash,Underground conventional or solution mining; brine evaporation,Per tonne KCl (MOP),Cash cost ~$100-200/t (low-cost Saskatchewan lower),$/t KCl (MOP/SOP),depth & seam thickness; conventional UG vs SOLUTION mining vs brine ponds.,flotation/crystallisation; compaction.,solution-mining energy; evaporation.,bulk rail/port — logistics is a large share.,"brine/tailings salt management, subsidence.","India imports ~100% => 'fertilizer mineral' for food security; oligopolistic global supply (Canada, Russia, Belarus).",FALSE,"EXTRACTION: depth & seam thickness; conventional UG vs SOLUTION mining vs brine ponds. PROCESSING: flotation/crystallisation; compaction. ENERGY/REAGENTS: solution-mining energy; evaporation. LOGISTICS: bulk rail/port — logistics is a large share. FISCAL/ESG: brine/tailings salt management, subsidence. STRUCTURAL: India imports ~100% => 'fertilizer mineral' for food security; oligopolistic global supply (Canada, Russia, Belarus).",2025-26
Critical Minerals (India 30),REE (Rare Earths),Bastnaesite/monazite (open-pit) or ionic-clay; India: beach-sand monazite,Per kg/tonne REO (separated oxides),Blended ~US$70/kg needed for viable IRR; heavy REE far costlier,"$/kg by individual oxide (NdPr, Dy, Tb premium)",total REO grade & the mix (magnet/heavy REE value vs cheap La/Ce).,SEPARATION is the cost — cracking + dozens of solvent-extraction stages to split chemically similar elements; radioactive Th/U in monazite complicates.,huge acid/solvent consumption; effluent.,concentrate to separation plants.,"Th/U radioactive residues (Atomic Energy rules in India), effluent.","China ~60% mining, ~90% separation => the bottleneck & price-setter; mining is easy, SEPARATION is the moat.",FALSE,"EXTRACTION: total REO grade & the mix (magnet/heavy REE value vs cheap La/Ce). PROCESSING: SEPARATION is the cost — cracking + dozens of solvent-extraction stages to split chemically similar elements; radioactive Th/U in monazite complicates. ENERGY/REAGENTS: huge acid/solvent consumption; effluent. LOGISTICS: concentrate to separation plants. FISCAL/ESG: Th/U radioactive residues (Atomic Energy rules in India), effluent. STRUCTURAL: China ~60% mining, ~90% separation => the bottleneck & price-setter; mining is easy, SEPARATION is the moat.",2025-26
Critical Minerals (India 30),Rhenium,By-product of molybdenum roasting (from Cu-Mo porphyries),Per kg Re,"Very high (~$1,000-2,500/kg historically)",$/kg Re (perrhenate/metal),none — captured from MoS2 roaster flue gases.,"scrubbing flue dust, precipitation to ammonium perrhenate.",incremental to moly roasting.,minute.,flue-gas capture.,BY-PRODUCT of a by-product (Re<-Mo<-Cu) => supply very inelastic; superalloy turbine blades & Pt-Re reforming catalysts.,TRUE,"EXTRACTION: none — captured from MoS2 roaster flue gases. PROCESSING: scrubbing flue dust, precipitation to ammonium perrhenate. ENERGY/REAGENTS: incremental to moly roasting. LOGISTICS: minute. FISCAL/ESG: flue-gas capture. STRUCTURAL: BY-PRODUCT of a by-product (Re<-Mo<-Cu) => supply very inelastic; superalloy turbine blades & Pt-Re reforming catalysts.",2025-26
Critical Minerals (India 30),Silicon (metallurgical),Quartz/silica + carbothermic reduction in arc furnace,Per tonne Si metal,"Met-grade Si ~$1,500-3,000/t; polysilicon far higher",$/t Si; power is master driver,silica (quartz) is cheap & abundant — purity/Fe content matters.,submerged-arc furnace carbothermic reduction (quartz + carbon).,ELECTRICITY (12-13 MWh/t Si) + carbon reductants dominate — effectively an electricity-into-metal business.,bulk.,"furnace CO2, microsilica by-product.",cheap-power regions win; polysilicon (solar/semis) adds another energy-intensive refining tier.,FALSE,"EXTRACTION: silica (quartz) is cheap & abundant — purity/Fe content matters. PROCESSING: submerged-arc furnace carbothermic reduction (quartz + carbon). ENERGY/REAGENTS: ELECTRICITY (12-13 MWh/t Si) + carbon reductants dominate — effectively an electricity-into-metal business. LOGISTICS: bulk. FISCAL/ESG: furnace CO2, microsilica by-product. STRUCTURAL: cheap-power regions win; polysilicon (solar/semis) adds another energy-intensive refining tier.",2025-26
Critical Minerals (India 30),Strontium,Celestine (SrSO4) open-pit; small market,Per tonne Sr (as carbonate),Project-specific; small global market,$/t strontium carbonate,celestine grade; simple open-pit.,conversion to strontium carbonate (black-ash/soda process).,conversion energy/reagents.,bulk.,standard quarry controls.,"small, concentrated supply (China, Spain, Mexico, Iran); ceramics, pyrotechnics, specialty magnets.",FALSE,"EXTRACTION: celestine grade; simple open-pit. PROCESSING: conversion to strontium carbonate (black-ash/soda process). ENERGY/REAGENTS: conversion energy/reagents. LOGISTICS: bulk. FISCAL/ESG: standard quarry controls. STRUCTURAL: small, concentrated supply (China, Spain, Mexico, Iran); ceramics, pyrotechnics, specialty magnets.",2025-26
Critical Minerals (India 30),Tantalum,"Tantalite/columbite, tin-slag by-product, artisanal coltan",Per kg/lb Ta2O5,High; artisanal supply sets margin,$/lb Ta2O5 in concentrate,"low-grade pegmatites; often artisanal (coltan, Central Africa) or a tin by-product.",gravity/magnetic concentration; solvent extraction to oxides/metal.,hydromet refining.,concentrate to processors.,CONFLICT-MINERAL (3TG) due diligence is a major cost/compliance driver.,capacitor (electronics) demand; supply partly artisanal & geopolitically sensitive.,FALSE,"EXTRACTION: low-grade pegmatites; often artisanal (coltan, Central Africa) or a tin by-product. PROCESSING: gravity/magnetic concentration; solvent extraction to oxides/metal. ENERGY/REAGENTS: hydromet refining. LOGISTICS: concentrate to processors. FISCAL/ESG: CONFLICT-MINERAL (3TG) due diligence is a major cost/compliance driver. STRUCTURAL: capacitor (electronics) demand; supply partly artisanal & geopolitically sensitive.",2025-26
Critical Minerals (India 30),Tellurium,By-product of copper electrorefining (anode slimes),Per kg Te,Recovered from anode slimes; small market,$/kg Te,"none — concentrated in copper-refinery anode slimes (alongside Se, Au, Ag).",leaching/precipitation from slimes; refining.,incremental.,minute.,host-refinery footprint.,BY-PRODUCT — supply tied to copper refining volumes; CdTe thin-film solar & thermoelectrics.,TRUE,"EXTRACTION: none — concentrated in copper-refinery anode slimes (alongside Se, Au, Ag). PROCESSING: leaching/precipitation from slimes; refining. ENERGY/REAGENTS: incremental. LOGISTICS: minute. FISCAL/ESG: host-refinery footprint. STRUCTURAL: BY-PRODUCT — supply tied to copper refining volumes; CdTe thin-film solar & thermoelectrics.",2025-26
Critical Minerals (India 30),Tin,See Base Metals sheet,Per t Sn,"Metal ~$25,000-35,000/t",$/t Sn,cassiterite grade; alluvial (cheap gravity) vs hard-rock (drill-blast-mill).,"gravity concentration, some flotation; smelting/fuming.",modest for alluvial; higher for hard-rock milling.,concentrate to smelters.,artisanal/illegal mining & 3TG conflict-mineral due diligence; dredging/river-sediment impacts.,"heavy artisanal supply (Myanmar, DRC, Indonesia) sets marginal cost; tantalum often co-recovered; solder/electronics demand. (Fuller treatment in the Base Metals entry.)",FALSE,"EXTRACTION: cassiterite grade; alluvial (cheap gravity) vs hard-rock (drill-blast-mill).; PROCESSING: gravity concentration, some flotation; smelting/fuming.; ENERGY/REAGENTS: modest for alluvial; higher for hard-rock milling.; LOGISTICS: concentrate to smelters.; FISCAL/ESG: artisanal/illegal mining & 3TG conflict-mineral due diligence; dredging/river-sediment impacts.; STRUCTURAL: heavy artisanal supply (Myanmar, DRC, Indonesia) sets marginal cost; tantalum often co-recovered; solder/electronics demand. (Fuller treatment in the Base Metals entry.)",2025-26
Critical Minerals (India 30),Titanium (mineral sands),Ilmenite/rutile beach-sand dredging & dry mining (India: coastal sands),Per tonne ilmenite/rutile,Ilmenite ~$150-300/t; rutile higher; sponge/pigment downstream,$/t feedstock; TiO2 pigment vs sponge metal,heavy-mineral % in sand; dredge/spiral concentration (low energy).,gravity + magnetic + electrostatic separation; upgrading to slag/synthetic rutile; then chloride/sulphate pigment or Kroll sponge (energy-intensive).,Kroll process (Mg reduction) is very energy- & chlorine-intensive for metal.,bulk concentrate.,"monazite/Th radioactivity in the same sands (Atomic Energy rules), CRZ coastal limits.","cheap to mine, expensive to turn into metal; co-produces zircon, REE, garnet.",FALSE,"EXTRACTION: heavy-mineral % in sand; dredge/spiral concentration (low energy). PROCESSING: gravity + magnetic + electrostatic separation; upgrading to slag/synthetic rutile; then chloride/sulphate pigment or Kroll sponge (energy-intensive). ENERGY/REAGENTS: Kroll process (Mg reduction) is very energy- & chlorine-intensive for metal. LOGISTICS: bulk concentrate. FISCAL/ESG: monazite/Th radioactivity in the same sands (Atomic Energy rules), CRZ coastal limits. STRUCTURAL: cheap to mine, expensive to turn into metal; co-produces zircon, REE, garnet.",2025-26
Critical Minerals (India 30),Tungsten,Wolframite/scheelite (UG/open-pit); China dominant,Per tonne W (in APT),"WO3/APT ~$30,000-45,000/t basis",$/mtu WO3; APT price,scheelite/wolframite grade; hard-rock UG or open-pit.,gravity + flotation; conversion to ammonium paratungstate (APT) then carbide.,milling + hydromet to APT.,concentrate to APT plants.,tailings; China export policy.,China ~80% supply & APT processing => price/availability lever; cemented-carbide & defence demand.,FALSE,EXTRACTION: scheelite/wolframite grade; hard-rock UG or open-pit. PROCESSING: gravity + flotation; conversion to ammonium paratungstate (APT) then carbide. ENERGY/REAGENTS: milling + hydromet to APT. LOGISTICS: concentrate to APT plants. FISCAL/ESG: tailings; China export policy. STRUCTURAL: China ~80% supply & APT processing => price/availability lever; cemented-carbide & defence demand.,2025-26
Critical Minerals (India 30),Vanadium,By-product of titaniferous magnetite / steel slag; some primary,Per kg V (as V2O5),V2O5 price volatile (~$5-12/lb V2O5 historically),$/lb V2O5; $/kgV,mostly recovered from vanadiferous magnetite during steelmaking (slag) or from primary V deposits/stone-coal.,salt-roast + leach to V2O5; ferrovanadium.,"roasting energy, reagents.",modest.,roasting emissions.,steel-rebar demand (cyclical) + emerging vanadium-redox-flow batteries; co-product economics with steel.,TRUE,"EXTRACTION: mostly recovered from vanadiferous magnetite during steelmaking (slag) or from primary V deposits/stone-coal. PROCESSING: salt-roast + leach to V2O5; ferrovanadium. ENERGY/REAGENTS: roasting energy, reagents. LOGISTICS: modest. FISCAL/ESG: roasting emissions. STRUCTURAL: steel-rebar demand (cyclical) + emerging vanadium-redox-flow batteries; co-product economics with steel.",2025-26
Critical Minerals (India 30),Zirconium (zircon),By-product of titanium mineral-sands mining,Per tonne zircon,"Zircon ~$1,500-2,500/t; nuclear-grade Zr metal far higher",$/t zircon; nuclear Zr separate,none standalone — co-mined with ilmenite/rutile in beach sands.,"physical separation of zircon; for nuclear Zr, costly Hf removal (see Hafnium).",separation; chlorination for metal.,bulk concentrate.,low-level radioactivity (U/Th) in zircon; coastal limits.,ceramics/refractory demand for zircon; small high-value nuclear-grade Zr metal niche.,TRUE,"EXTRACTION: none standalone — co-mined with ilmenite/rutile in beach sands. PROCESSING: physical separation of zircon; for nuclear Zr, costly Hf removal (see Hafnium). ENERGY/REAGENTS: separation; chlorination for metal. LOGISTICS: bulk concentrate. FISCAL/ESG: low-level radioactivity (U/Th) in zircon; coastal limits. STRUCTURAL: ceramics/refractory demand for zircon; small high-value nuclear-grade Zr metal niche.",2025-26
Critical Minerals (India 30),Selenium,By-product of copper electrorefining (anode slimes),Per kg Se,Recovered from anode slimes,$/kg Se,none — in copper-refinery anode slimes.,"roasting/leaching of slimes, reduction to commercial selenium.",incremental.,minor.,host-refinery footprint.,"BY-PRODUCT — supply tied to copper electrorefining; glass, metallurgy, electronics.",TRUE,"EXTRACTION: none — in copper-refinery anode slimes. PROCESSING: roasting/leaching of slimes, reduction to commercial selenium. ENERGY/REAGENTS: incremental. LOGISTICS: minor. FISCAL/ESG: host-refinery footprint. STRUCTURAL: BY-PRODUCT — supply tied to copper electrorefining; glass, metallurgy, electronics.",2025-26
Critical Minerals (India 30),Cadmium,By-product of zinc smelting,Per tonne Cd,"Recovered from zinc; low value, often a cost to manage",$/t Cd,none — collected in zinc smelter dusts/residues.,distillation/electrowinning from zinc circuit.,incremental.,minor.,"HIGH — cadmium is toxic; capture is partly driven by emission control, not revenue.","BY-PRODUCT — supply tied to zinc; NiCd batteries (declining), pigments; environmental restriction is the dominant 'cost driver'.",TRUE,"EXTRACTION: none — collected in zinc smelter dusts/residues. PROCESSING: distillation/electrowinning from zinc circuit. ENERGY/REAGENTS: incremental. LOGISTICS: minor. FISCAL/ESG: HIGH — cadmium is toxic; capture is partly driven by emission control, not revenue. STRUCTURAL: BY-PRODUCT — supply tied to zinc; NiCd batteries (declining), pigments; environmental restriction is the dominant 'cost driver'.",2025-26
Bulk & Industrial,"Iron Ore (seaborne, hematite)",Open-pit,"Per tonne saleable ore (FOB, C1)","Low-cost majors ~$18-30/t (Rio ~$23.5, BHP/FMG ~$18-19); marginal $50-100+/t",C1 per tonne; adjusted to 62% Fe reference,Fe grade & gangue (silica/alumina/P); hematite (direct-ship) vs magnetite (needs concentration); strip ratio; ore hardness.,crush-screen vs beneficiation (DR-grade vs blast-furnace); lump:fines ratio (lump premium).,"diesel haulage, crushing power.",RAIL TO PORT + shiploading + ocean freight — huge share; product blending to spec.,"tailings dam safety, water, royalties; currency (AUD/BRL).",scale & infrastructure ownership; grade decline.,FALSE,"EXTRACTION: Fe grade & gangue (silica/alumina/P); hematite (direct-ship) vs magnetite (needs concentration); strip ratio; ore hardness. PROCESSING: crush-screen vs beneficiation (DR-grade vs blast-furnace); lump:fines ratio (lump premium). ENERGY/REAGENTS: diesel haulage, crushing power. LOGISTICS: RAIL TO PORT + shiploading + ocean freight — huge share; product blending to spec. FISCAL/ESG: tailings dam safety, water, royalties; currency (AUD/BRL). STRUCTURAL: scale & infrastructure ownership; grade decline.",2025-26
Bulk & Industrial,Manganese Ore,Open-cut / underground,Per tonne saleable (FOB); priced per dmtu,~$20-50/t FOB (GEMCO among lowest),$/dmtu (~$4-5) x Mn%,Mn grade (drives $/dmtu) & impurities (Fe/Si/P); open-cut vs UG.,dense-media/gravity beneficiation; lump vs fines.,beneficiation power.,haul to port + ocean freight + moisture.,"state royalties, weather/cyclone (NT), export-policy risk (Gabon).",ferroalloy/steel demand; currency.,FALSE,"EXTRACTION: Mn grade (drives $/dmtu) & impurities (Fe/Si/P); open-cut vs UG. PROCESSING: dense-media/gravity beneficiation; lump vs fines. ENERGY/REAGENTS: beneficiation power. LOGISTICS: haul to port + ocean freight + moisture. FISCAL/ESG: state royalties, weather/cyclone (NT), export-policy risk (Gabon). STRUCTURAL: ferroalloy/steel demand; currency.",2025-26
Bulk & Industrial,Limestone (cement/flux/aggregate),Open-pit quarry,Per tonne ROM/product,~$3-10/t,Delivered $/t at kiln (haulage dominates),overburden ratio; CaO purity & deleterious content (MgO/silica/alkalis); blast fragmentation.,crushing (energy & maintenance).,"crusher power, diesel.",QUARRY-TO-PLANT HAULAGE is the swing cost.,"dust/blast-vibration limits, water table, royalties, reserve life vs plant.",captive to cement plant economics.,FALSE,"EXTRACTION: overburden ratio; CaO purity & deleterious content (MgO/silica/alkalis); blast fragmentation. PROCESSING: crushing (energy & maintenance). ENERGY/REAGENTS: crusher power, diesel. LOGISTICS: QUARRY-TO-PLANT HAULAGE is the swing cost. FISCAL/ESG: dust/blast-vibration limits, water table, royalties, reserve life vs plant. STRUCTURAL: captive to cement plant economics.",2025-26
Bulk & Industrial,Chromite,Open-cast / underground (India: Odisha Sukinda),Per tonne ore,~$30-80/t,$/t by grade; ferrochrome conversion,Cr2O3 grade & Cr:Fe ratio; open-cast vs deepening UG.,spiral/gravity/DMS beneficiation; lumpy vs friable fines.,beneficiation + captive power for downstream ferrochrome.,haul to smelter.,"Cr(VI) contamination controls, water; export duty/policy.",stainless-steel demand; integration with ferrochrome.,FALSE,"EXTRACTION: Cr2O3 grade & Cr:Fe ratio; open-cast vs deepening UG. PROCESSING: spiral/gravity/DMS beneficiation; lumpy vs friable fines. ENERGY/REAGENTS: beneficiation + captive power for downstream ferrochrome. LOGISTICS: haul to smelter. FISCAL/ESG: Cr(VI) contamination controls, water; export duty/policy. STRUCTURAL: stainless-steel demand; integration with ferrochrome.",2025-26
Bulk & Industrial,Phosphate Rock,Open-pit,Per tonne rock,~$30-60/t,$/t at given P2O5,P2O5 grade & gangue; overburden.,flotation/washing for low grade; cadmium/uranium penalties.,beneficiation water/power.,bulk shipping.,"phosphogypsum waste, cadmium limits.",fertilizer/food-security mineral; India import-dependent.,FALSE,"EXTRACTION: P2O5 grade & gangue; overburden. PROCESSING: flotation/washing for low grade; cadmium/uranium penalties. ENERGY/REAGENTS: beneficiation water/power. LOGISTICS: bulk shipping. FISCAL/ESG: phosphogypsum waste, cadmium limits. STRUCTURAL: fertilizer/food-security mineral; India import-dependent.",2025-26
Bulk & Industrial,Construction Aggregates / Silica Sand,Quarry / dredging,Per tonne,~$3-12/t,Delivered $/t (very low value-to-weight),"rock hardness & crushing stages; for sand, SiO2 purity & iron content.",crushing/screening; washing (silica).,crusher power.,HAULAGE DOMINATES — economics collapse beyond ~50-100 km.,"permitting, dust, river-sand/dredging bans (India), royalties.",tied to local construction demand & urban proximity.,FALSE,"EXTRACTION: rock hardness & crushing stages; for sand, SiO2 purity & iron content. PROCESSING: crushing/screening; washing (silica). ENERGY/REAGENTS: crusher power. LOGISTICS: HAULAGE DOMINATES — economics collapse beyond ~50-100 km. FISCAL/ESG: permitting, dust, river-sand/dredging bans (India), royalties. STRUCTURAL: tied to local construction demand & urban proximity.",2025-26
